Model,Accuracy,Precision,Recall,F1 Score,Inference Time (s)
SNN,0.7498568975386377,0.7690067241754174,0.7498568975386377,0.750587462261707,24.52484941482544
ANN,0.7498568975386377,0.7616892693811679,0.7498568975386377,0.7507503585714725,17.95184588432312
CNN,0.8116771608471666,0.8145133532787583,0.8116771608471666,0.810720051855378,17.811585664749146
